j,i,d,r
Ukrainian Journal of Physics,0960-6068,2-Jan-17,Journal not adhering to Best practice and issn dead
Ã‚derna FÃ¬zika ta Energetika,1818-331X,2-Jan-17,Journal not adhering to Best practice
L'Atelier,2109-9103,31-Dec-16,Journal not adhering to Best practice
RSBO,1806-7727,31-Dec-16,Journal not adhering to Best practice
International Journal of Drug Development & Research,0975-9344,30-Dec-16,Suspected editorial misconduct by publisher
JOP Journal of the Pancreas,1590-8577,30-Dec-16,Suspected editorial misconduct by publisher
Electronic Journal of Biology,1860-3122,30-Dec-16,Suspected editorial misconduct by publisher
International Journal of Applied Biology and Pharmaceutical Technology,0976-4550,30-Dec-16,Suspected editorial misconduct by publisher
EtnoAntropoZum,1409-939X,30-Dec-16,Journal not adhering to Best practice
Synergies Monde,1951-6908,29-Dec-16,Journal not adhering to Best practice
Colloquium Vitae,1984-6436,29-Dec-16,Journal not adhering to Best practice
Sovremennye IssledovaniÃ¢ SocialÊ_nyh Problem ,2077-1770,28-Dec-16,Web site URL will change
Afrika Focus,0772-084X,28-Dec-16,Journal not adhering to Best practice
Trypillian Civilization Journal ,2155-871X,28-Dec-16,Journal not adhering to Best practice
Revija za Socijalna Politika,1857-6052,27-Dec-16,"Ceased publishing, no OA statement  no licence"
AsimmetriÃ¢,1999-6489,27-Dec-16,Journal not adhering to Best practice
Ekonomska Revija (Tuzla),1512-8962,25-Dec-16,no OA statement  no licence
Sport Scientific And Practical Aspects,1840-4413,25-Dec-16,no OA statement  no licence
Zbornik Radova Ekonomskog Fakulteta u IstoÄçnom Sarajevu,1840-3557,25-Dec-16,no OA statement  no licence
Aisthesis,0718-7181,24-Dec-16,Journal not adhering to Best practice
Kompiuteruli Mec'nierebani da Telekomunikac'iebi,1512-1232,24-Dec-16,no OA statement  no licence
Montenegrin Journal of Sports Science and Medicine,1800-8755,24-Dec-16,Journal not adhering to Best practice
Research in Kinesiology,1857-7679,24-Dec-16,Journal not adhering to Best practice
Poljoprivreda i Å umarstvo,0554-5579,24-Dec-16,Journal not adhering to Best practice
Lingua Montenegrina,1800-7007,24-Dec-16,Journal not adhering to Best practice
Zoosystema,1280-9551,23-Dec-16,Journal not adhering to Best practice
McGill Journal of Education,1916-0666,23-Dec-16,Journal not adhering to Best practice
"Intersectionalities: A Global Journal of Social Work Analysis, Research, Polity and Practice",1925-1270,23-Dec-16,Journal not adhering to Best practice
Alcance,2411-9970,21-Dec-16,Web site URL no longer works
Ã‰lisee,2316-4360,21-Dec-16,Journal not adhering to Best practice
Sovremennye Tehnologii UpravleniÃ¢,2226-9339,21-Dec-16,Journal not adhering to Best practice
Scientific Herald of the Voronezh State University of Architecture and Civil Engineering,2075-0811,20-Dec-16,Journal not adhering to Best practice
Bulletin of Mathematical Sciences and Applications,2278-9634,20-Dec-16,Journal not adhering to Best practice
"International Letters of Chemistry, Physics and Astronomy",2299-3843,20-Dec-16,Journal not adhering to Best practice
International Letters of Social and Humanistic Sciences,2300-2697,20-Dec-16,Journal not adhering to Best practice
KliniÄçeskaÃ¢ i SpecialÊ_naÃ¢ PsihologiÃ¢,2304-0394,20-Dec-16,Journal not adhering to Best practice
International Journal of Supply Chain Management,2050-7399,20-Dec-16,Journal not adhering to Best practice
DEARQ : Journal of Architecture,2215-969X,20-Dec-16,Journal not adhering to Best practice
International Journal of Safety and Security in Tourism and Hospitality,2250-5105,20-Dec-16,Journal not adhering to Best practice
Facta Universitatis Series: Architecture and Civil Engineering,0354-4605,19-Dec-16,no licence
Journal of Automatic Control,1450-9903,19-Dec-16,no licence
Medicinski Pregled,0025-8105,19-Dec-16,no licence
"Facta Universitatis Series: Physics, Chemistry and Technology",0354-4656,19-Dec-16,no licence
Sociologija,0038-0318,19-Dec-16,no licence
Zbornik Matice Srpske za Drustvene Nauke,0352-5732,19-Dec-16,no licence
Ilorin Journal of Religious Studies,2141-7040,19-Dec-16,Journal not adhering to Best practice
Journal of Indigenous Voices in Social Work ,2151-349X,19-Dec-16,"Ceased publishing, continued by 2164-9170"
Ethiopian Journal of Science,2220-184X,19-Dec-16,Journal not adhering to Best practice
D-Lib Magazine,1082-9873,19-Dec-16,Journal not adhering to Best practice
"Pachyderm : Journal of the African Elephant, African Rhino and Asian Rhino Specialist Groups",1683-5018,19-Dec-16,Journal not adhering to Best practice
International Journal of Advanced Legal Studies and Governance,2141-6710,19-Dec-16,Journal not adhering to Best practice
Enliven: Journal of Anesthesiology and Critical Care Medicine,2374-4448,19-Dec-16,Journal not adhering to Best practice
NauÄçnyj Å_urnal Kubanskogo Gosudarstvennogo Agrarnogo Universiteta ,1990-4665,19-Dec-16,Journal not adhering to Best practice
English for Specific Purposes World,1682-3257,18-Dec-16,Journal not adhering to Best practice
Revista Finlay,2221-2434,18-Dec-16,Journal not adhering to Best practice
The Middle Ground Journal,2155-1103,18-Dec-16,Journal not adhering to Best practice
Pesquisa Aplicada & Agrotecnologia,1984-7548,18-Dec-16,Journal not adhering to Best practice
Internet-Vestnik VolgGASU ,1994-0351,18-Dec-16,Journal not adhering to Best practice
MedULA,0798-3166,17-Dec-16,Journal not adhering to Best practice
Molecular Medicine,1076-1551,15-Dec-16,Journal not adhering to Best practice
Notices of the American Mathematical Society.,Feb-20,15-Dec-16,Journal not adhering to Best practice
Vision Pan-America,2219-4665,14-Dec-16,Journal not adhering to Best practice
Arts and Social Sciences Journal,2151-6200,14-Dec-16,Journal not adhering to Best practice
Fisheries and Aquaculture Journal,2150-3508,14-Dec-16,Journal not adhering to Best practice
Social Studies Research and Practice,1933-5415,10-Dec-16,Journal not adhering to Best practice
Journal of the Faculty of Veterinary Medicine ,1017-8422,8-Dec-16,Journal not adhering to Best practice
Knowledge & Health Journal,1735-577X,8-Dec-16,Journal not adhering to Best practice
Revista InvestigaciÃ_n Operacional,0257-4306,15-Dec-16,Journal not adhering to Best practice
Prismas: Revista de Historia Intelectual ,1666-1508,15-Dec-16,Journal not adhering to Best practice
Open Access Journal of Medicinal and Aromatic Plants,0974-7877,14-Dec-16,Has not published enough articles this calendar year
ÃˆkonomiÄçeskaÃ¢ SociologiÃ¢,1726-3247,14-Dec-16,No licence
Magazine of Civil Engineering,2071-4726,12-Dec-16,Journal not adhering to Best practice
CBU International Conference Proceedings,1805-997X,10-Dec-16,Journal not adhering to Best practice
International Journal of Motorcycle Studies,1931-275X,8-Dec-16,Journal not adhering to Best practice
International Journal of Teaching and Learning in Higher Education,1812-9129,8-Dec-16,Journal not adhering to Best practice
Revista ANACEM,0718-5308,8-Dec-16,Journal not adhering to Best practice
Potravinarstvo,1338-0230,8-Dec-16,Journal not adhering to Best practice
Econ Journal Watch,1933-527X,8-Dec-16,Journal not adhering to Best practice
TeorÃ_a y Praxis,1870-1582,7-Dec-16,Journal not adhering to Best practice
BoletÃ_n de FilologÃ_a,0067-9674,7-Dec-16,Journal not adhering to Best practice
RÃ©tor,1853-6034,7-Dec-16,Journal not adhering to Best practice
Revista Chilena de NeuropsicologÃ_a,0718-0551,7-Dec-16,Journal not adhering to Best practice
New Balkan Politics,1409-8709,5-Dec-16,"no licence, no OA statement"
Electronic Journal of Boundary Elements (EJBE),1542-3891,5-Dec-16,few articles published
Fronteras de la Historia,2027-4688,5-Dec-16,Journal not adhering to Best practice
Mora (Buenos Aires),0328-8773,5-Dec-16,Journal not adhering to Best practice
The Canadian Journal of Sociology,0318-6431,4-Dec-16,Journal not adhering to Best practice
L'InfirmiÃ¨re Clinicienne,1923-5577,4-Dec-16,Journal not adhering to Best practice
Corela,1638-5748,3-Dec-16,Journal not adhering to Best practice
ComptabilitÃ©(s): Revue d'Histoire des ComptabilitÃ©s,1775-3554,3-Dec-16,Journal not adhering to Best practice
Trans: Revue de LittÃ©rature GÃ©nÃ©rale et ComparÃ©e,1778-3887,3-Dec-16,Journal not adhering to Best practice
AktuÃ¡lnÃ_ OtÃ¡zky SociÃ¡lnÃ_ Politiky: Teorie a Praxe,1804-9095,2-Dec-16,stopped publishing
Applicable Analysis and Discrete Mathematics,1452-8630,1-Dec-16,Journal not adhering to Best practice
JK Science: Journal of Medical Education & Research,0972-1177,30-Nov-16,Journal not adhering to Best practice
"Science, Religion and Culture",2055-222X,30-Nov-16,Journal not adhering to Best practice
British Journal of Virology,2055-6128,30-Nov-16,Journal not adhering to Best practice
Journal of Pharma Research,2319-5622,30-Nov-16,Journal not adhering to Best practice
International Journal of Innovative Research and Development,2278-0211,29-Nov-16,Journal not adhering to Best practice
Communications in Biometry and Crop Science,1896-0782,29-Nov-16,No license nor Open Access statement
REMISE: Revue de Microbiologie Industrielle Sanitaire et Environnementale,2028-0351,29-Nov-16,Journal not adhering to Best practice
Journal of University Medical & Dental College,2310-5542,29-Nov-16,Journal not adhering to Best practice
Journal of Computing,2151-9617,28-Nov-16,Journal not adhering to Best practice
Afro-ÃÅsia,0002-0591,29-Nov-16,Journal not adhering to Best practice
Eesti Majanduspoliitilised VÃ_itlused,1736-5597,28-Nov-16,Reapp. not adhering to Best practice
Vestnik Kievskogo PolitehniÄçeskogo Instituta: Radiotehnika ,0203-6584,27-Nov-16,dead
Literatura y LingÃ_Ã_stica,0717-621X,27-Nov-16,Journal not adhering to Best practice
Revista GeolÃ_gica de AmÃ©rica Central,0256-7024,27-Nov-16,Journal not adhering to Best practice
Journal of Academic and Applied Studies,1925-931X,27-Nov-16,Journal not adhering to Best practice
Microbiology Research,2036-7481,27-Nov-16,Requires user registration
The Canadian Journal of Career Development,1499-1845,27-Nov-16,Journal not adhering to Best practice
Revue Historique des ArmÃ©es,0035-3299,27-Nov-16,Journal not adhering to Best practice
Acta Silvae et Ligni,2335-3112,25-Nov-16,Journal not adhering to Best practice
The Journal of Social Work Values and Ethics,1553-6947,23-Nov-16,Journal not adhering to Best practice
AAUP Journal of Academic Freedom ,2153-8492,23-Nov-16,Journal not adhering to Best practice
Methodist Review,1946-5254,23-Nov-16,Journal not adhering to Best practice
University of Pittsburgh Law Review,1942-8405,24-Nov-16,No editorial board
Pittsburgh Journal of Technology Law & Policy,2164-800X,24-Nov-16,No editorial board
Journal of Law and Commerce,2164-7984,24-Nov-16,No editorial board
Koncept (Kirov),2304-120X,23-Nov-16,No licence
Revista de BioÃ©tica y Derecho,1886-5887,22-Nov-16,Journal not adhering to Best practice
PolÃ_tica y Sociedad,1988-3129,22-Nov-16,Journal not adhering to Best practice
ComunicaciÃ_n y Sociedad,0188-252X,22-Nov-16,Journal not adhering to Best practice
Journal of the Serbian Chemical Society,0352-5139,22-Nov-16,No licence
Annaly Aritmologii,1814-6791,22-Nov-16,No licence
Scriptura,2305-445X,21-Nov-16,Journal not adhering to Best practice
Revista Ciencias TÃ©cnicas Agropecuarias,2071-0054,21-Nov-16,Journal not adhering to Best practice
Revista Costarricense de Salud PÃºblica,1409-1429,21-Nov-16,Journal not adhering to Best practice
Revista Costarricense de CardiologÃ_a,1409-4142,21-Nov-16,Journal not adhering to Best practice
Revista Reflexiones,1659-2859,21-Nov-16,Journal not adhering to Best practice
REFLEXIÃ“N POLÃçTICA,0124-0781,20-Nov-16,Journal not adhering to Best practice
Avances en QuÃ_mica,1856-5301,20-Nov-16,Invalid ISSN
Revista ElectrÃ_nica de PortalesMedicos.com,1886-8924,20-Nov-16,Journal not adhering to Best practice
DenkstrÃ¶me: Journal der SÃ_chsischen Akademie der Wissenschaften,1867-7061,20-Nov-16,Journal not adhering to Best practice
Endocrinology Studies,2038-9523,20-Nov-16,Inactive 
Life Span and Disability,2035-5963,20-Nov-16,Journal not adhering to Best practice
International Journal of Plant Biology,2037-0164,20-Nov-16,embargoed access
Medical Education Development,2038-954X,20-Nov-16,Inactive 
Revista Alpha ,0718-2201,20-Nov-16,Journal not adhering to Best practice
Surgical Techniques Development,2038-9582,15-Nov-16,few articles published
Journal of the Siena Academy of Sciences,2279-8811,15-Nov-16,Inactive 
Ageing Research,2036-7376,15-Nov-16,Inactive 
"Rationality, Markets and Morals",1869-778X,15-Nov-16,No license
Samples : Online-Publikationen der Gesellschaft fÃ_r Popularmusikforschung,1612-8001,15-Nov-16,No license
Journal of Approximation Theory and Applied Mathematics,2196-1581,15-Nov-16,few articles published
Zeitschrift fÃ_r Nachwuchswissenschaftler,1869-6139,15-Nov-16,few articles published
MÃ_nster Journal of Mathematics,1867-5786,15-Nov-16,No license
Social Work and Society,1613-8953,15-Nov-16,Journal not adhering to Best practice
Champ PÃ©nal,1777-5272,15-Nov-16,Journal not adhering to Best practice
Geo-Analyst,2249-2909,15-Nov-16,Journal not adhering to Best practice
International Journal of Leadership Studies,1554-3145,14-Nov-16,Inactive 
African East-Asian Affairs,2308-8699,14-Nov-16,Inactive 
Lexikos,2224-0039,14-Nov-16,"No licence , peer review inadequate"
"Law, Democracy & Development ",2077-4907,14-Nov-16,"No licence , peer review inadequate"
Scientia Militaria : South African Journal of Military Studies,2224-0020,14-Nov-16,"No licence , peer review inadequate"
African Population Studies,2308-7854,14-Nov-16,"No licence , peer review inadequate"
Nonsite,2164-1668,14-Nov-16,No licence nor OA statement
MedUNAB,0123-7047,11-Nov-16,Journal not adhering to Best practice
Pensamiento Constitucional,1027-6769,11-Nov-16,Journal not adhering to Best practice
Revista Enfoques: Ciencia PolÃ_tica y AdministraciÃ_n PÃºblica,0718-0241,11-Nov-16,Journal not adhering to Best practice
